,X,Y,Z,Voltage (uV)
E1,5.787677636,5.520863216,-2.577468644,0.579102
E2,5.291804727,6.709097557,0.307434896,0.061035
E3,3.864122447,7.63424051,3.067770143,-0.693359
E4,2.868837559,7.145708546,4.989564557,-1.151367
E5,1.479340453,5.68662139,6.812878187,-1.191895
E6,0,3.806770224,7.891304964,-1.690186
E7,-1.223800252,1.558864431,8.44043914,-1.700195
E8,4.221901505,7.998817387,-1.354789681,0.347656
E9,2.695405558,8.884820317,1.088308144,-0.578125
E10,1.830882336,8.708839134,3.18709115,-0.81543
E11,0,7.96264703,5.044718001,-1.003906
E12,-1.479340453,5.68662139,6.812878187,-1.720703
E13,-2.435870762,3.254307219,7.608766206,-1.567383
E14,1.270447661,9.479016328,-0.947183306,0.167969
E15,0,9.087440894,1.333345013,-0.344727
E16,0,9.076490798,3.105438474,-0.848633
E17,0,9.271139705,-2.211516434,0.244141
E18,-1.830882336,8.708839134,3.18709115,-0.99585
E19,-2.868837559,7.145708546,4.989564557,-1.25708
E20,-3.825797111,5.121648995,5.942844877,-1.635742
E21,-1.270447661,9.479016328,-0.947183306,-0.1521
E22,-2.695405558,8.884820317,1.088308144,-0.375977
E23,-3.864122447,7.63424051,3.067770143,-1.021973
E24,-4.459387187,6.021159964,4.365321482,-1.423828
E25,-4.221901505,7.998817387,-1.354789681,0.114258
E26,-5.291804727,6.709097557,0.307434896,0.124634
E27,-5.682547954,5.453384344,2.836565436,-1.006592
E28,-5.546670402,4.157847823,4.627615703,-1.622559
E29,-4.762196763,2.697832099,6.297663028,-1.763672
E30,-3.695490968,0.960411022,7.627828134,-1.6875
E31,-1.955187826,-0.684381878,8.564858511,-1.723633
E32,-5.787677636,5.520863216,-2.577468644,0.172363
E33,-6.399087198,4.127248875,-0.356852241,-0.895996
E34,-6.823959684,2.968422112,2.430080351,-1.227417
E35,-6.414469893,1.490027747,4.741794544,-1.264648
E36,-5.47913021,0.284948655,6.38332782,-1.599609
E37,-3.909902609,-1.519049882,7.764134929,-1.446289
E38,-6.550732888,3.611543152,-3.353155926,0.256836
E39,-7.191620108,0.850096251,-0.882936903,-0.467773
E40,-7.391919265,0.032151584,2.143634599,-1.019043
E41,-6.905051715,-0.800953972,4.600056501,-0.941406
E42,-5.956055073,-2.338984312,6.00361353,-1.299194
E43,-6.518995129,2.417299399,-5.253637073,-0.777344
E44,-6.840717711,1.278489412,-3.5553823,0.315918
E45,-7.304625099,-1.866238006,-0.629182006,-0.735229
E46,-7.312517928,-2.298574078,2.385298838,-1.086304
E47,-6.737313764,-3.011819533,4.178390203,-0.915039
E48,-5.934584124,2.22697797,-7.934360742,0.482422
E49,-6.298127313,0.41663451,-6.069156425,0.541504
E50,-6.78248072,-4.023512045,-0.232191092,-0.649902
E51,-6.558030032,-4.667036048,2.749989597,-0.834961
E52,-5.831241498,-4.494821698,4.955347697,-0.839111
E53,-4.193518856,-4.037020083,6.982920038,-1.331055
E54,-2.270752074,-3.414835627,8.204556551,-1.486328
E55,0,-2.138343513,8.791875902,-1.442383
E56,-6.174969392,-2.458138877,-5.637380998,0.555664
E57,-6.580438308,-3.739554155,-2.991084431,-0.230957
E58,-6.034746843,-5.755782196,0.051843011,-1.015747
E59,-5.204501802,-6.437833018,2.984444293,-0.622559
E60,-4.116929504,-6.061561438,5.365757296,-0.872559
E61,-2.344914884,-5.481057427,7.057748614,-1.201172
E62,0,-6.676694032,6.465208258,-0.663086
E63,-5.333266171,-4.302240169,-5.613509789,0.106934
E64,-5.404091392,-5.870302681,-2.891640039,-0.307861
E65,-4.645302298,-7.280552408,0.130139701,-0.696289
E66,-3.608293164,-7.665487704,3.129931648,-0.279297
E67,-1.844644417,-7.354417376,5.224001733,-0.48877
E68,-3.784983913,-6.401014415,-5.260040689,-0.04541
E69,-3.528848027,-7.603010836,-2.818037873,-0.062988
E70,-2.738838019,-8.607966849,0.239368223,-0.326172
E71,-1.404967401,-8.437486994,3.277284901,-0.43457
E72,0,-7.829896826,4.687622229,-0.470703
E73,-1.929652202,-7.497197868,-5.136777648,0.087402
E74,-1.125731192,-8.455208629,-2.632832329,0.012695
E75,0,-8.996686498,0.487952047,-0.155273
E76,1.404967401,-8.437486994,3.277284901,-0.364746
E77,1.844644417,-7.354417376,5.224001733,-0.492188
E78,2.344914884,-5.481057427,7.057748614,-0.957031
E79,2.270752074,-3.414835627,8.204556551,-1.144531
E80,1.955187826,-0.684381878,8.564858511,-1.342773
E81,0,-7.85891896,-4.945387489,0.016289
E82,1.125731192,-8.455208629,-2.632832329,0
E83,2.738838019,-8.607966849,0.239368223,-0.341797
E84,3.608293164,-7.665487704,3.129931648,-0.530273
E85,4.116929504,-6.061561438,5.365757296,-0.652344
E86,4.193518856,-4.037020083,6.982920038,-0.839844
E87,3.909902609,-1.519049882,7.764134929,-1.255859
E88,1.929652202,-7.497197868,-5.136777648,0.134766
E89,3.528848027,-7.603010836,-2.818037873,0.028931
E90,4.645302298,-7.280552408,0.130139701,-0.200684
E91,5.204501802,-6.437833018,2.984444293,-0.40625
E92,5.831241498,-4.494821698,4.955347697,-0.556641
E93,5.956055073,-2.338984312,6.00361353,-1.238281
E94,3.784983913,-6.401014415,-5.260040689,-0.11377
E95,5.404091392,-5.870302681,-2.891640039,0.16748
E96,6.034746843,-5.755782196,0.051843011,-0.290039
E97,6.558030032,-4.667036048,2.749989597,-0.554688
E98,6.737313764,-3.011819533,4.178390203,-0.554199
E99,5.333266171,-4.302240169,-5.613509789,0.047363
E100,6.580438308,-3.739554155,-2.991084431,0.231445
E101,6.78248072,-4.023512045,-0.232191092,-0.115601
E102,7.312517928,-2.298574078,2.385298838,-0.75
E103,6.905051715,-0.800953972,4.600056501,-0.494141
E104,5.47913021,0.284948655,6.38332782,-1.044922
E105,3.695490968,0.960411022,7.627828134,-1.21875
E106,1.223800252,1.558864431,8.44043914,-1.518555
E107,6.174969392,-2.458138877,-5.637380998,0.178711
E108,7.304625099,-1.866238006,-0.629182006,-0.060547
E109,7.391919265,0.032151584,2.143634599,0.137695
E110,6.414469893,1.490027747,4.741794544,-0.90625
E111,4.762196763,2.697832099,6.297663028,-1.070312
E112,2.435870762,3.254307219,7.608766206,-1.370117
E113,6.298127313,0.41663451,-6.069156425,0.751831
E114,6.840717711,1.278489412,-3.5553823,0.302505
E115,7.191620108,0.850096251,-0.882936903,0.318848
E116,6.823959684,2.968422112,2.430080351,0.068359
E117,5.546670402,4.157847823,4.627615703,-0.990967
E118,3.825797111,5.121648995,5.942844877,-1.123047
E119,5.934584124,2.22697797,-7.934360742,0.248535
E120,6.518995129,2.417299399,-5.253637073,0.20459
E121,6.550732888,3.611543152,-3.353155926,0.528442
E122,6.399087198,4.127248875,-0.356852241,1.264648
E123,5.682547954,5.453384344,2.836565436,-0.037109
E124,4.459387187,6.021159964,4.365321482,-0.87793
E125,6.118458137,4.523870113,-4.409174427,0.32959
E126,3.743504949,6.649204911,-6.530243068,0.785522
E127,-3.743504949,6.649204911,-6.530243068,0.072754
E128,-6.118458137,4.523870113,-4.409174427,0.419922
E129,0,0,8.899186843,-1.255859